session_id,device,arm,converted
1,mobile,new_ui,0
2,mobile,new_ui,0
3,mobile,new_ui,0
4,desktop,old_ui,0
5,mobile,new_ui,0
6,mobile,new_ui,0
7,desktop,new_ui,0
8,mobile,new_ui,0
9,desktop,new_ui,0
10,desktop,old_ui,0
11,mobile,new_ui,0
12,mobile,new_ui,0
13,mobile,new_ui,0
14,desktop,new_ui,0
15,mobile,new_ui,0
16,mobile,new_ui,0
17,desktop,old_ui,0
18,mobile,new_ui,0
19,desktop,old_ui,0
20,mobile,old_ui,1
21,desktop,old_ui,0
22,mobile,new_ui,0
23,mobile,old_ui,0
24,mobile,new_ui,0
25,desktop,old_ui,0
26,desktop,old_ui,0
27,mobile,new_ui,1
28,mobile,new_ui,0
29,desktop,old_ui,0
30,mobile,new_ui,0
31,mobile,new_ui,0
32,mobile,new_ui,0
33,mobile,new_ui,0
34,desktop,new_ui,0
35,desktop,old_ui,0
36,desktop,old_ui,0
37,mobile,old_ui,0
38,mobile,new_ui,0
39,desktop,old_ui,0
40,desktop,old_ui,0
41,desktop,old_ui,0
42,mobile,new_ui,0
43,mobile,new_ui,0
44,mobile,new_ui,0
45,mobile,old_ui,0
46,mobile,new_ui,0
47,desktop,new_ui,1
48,mobile,new_ui,0
49,mobile,old_ui,0
50,desktop,new_ui,0
51,mobile,new_ui,0
52,desktop,old_ui,0
53,mobile,new_ui,1
54,mobile,new_ui,0
55,mobile,new_ui,1
56,desktop,old_ui,0
57,mobile,new_ui,0
58,desktop,old_ui,0
59,desktop,old_ui,0
60,mobile,new_ui,0
61,mobile,old_ui,0
62,mobile,new_ui,0
63,mobile,new_ui,1
64,mobile,new_ui,0
65,desktop,old_ui,0
66,mobile,old_ui,0
67,mobile,new_ui,0
68,desktop,new_ui,0
69,mobile,old_ui,0
70,desktop,old_ui,0
71,desktop,new_ui,0
72,desktop,old_ui,0
73,desktop,old_ui,0
74,desktop,old_ui,0
75,mobile,new_ui,0
76,mobile,new_ui,0
77,mobile,new_ui,0
78,desktop,old_ui,0
79,mobile,new_ui,0
80,mobile,new_ui,0
81,desktop,old_ui,0
82,desktop,old_ui,0
83,desktop,new_ui,0
84,mobile,new_ui,0
85,desktop,old_ui,0
86,desktop,old_ui,0
87,mobile,new_ui,0
88,desktop,old_ui,0
89,mobile,new_ui,0
90,mobile,new_ui,0
91,mobile,new_ui,0
92,mobile,new_ui,0
93,mobile,new_ui,1
94,mobile,new_ui,0
95,mobile,new_ui,0
96,mobile,old_ui,0
97,desktop,old_ui,1
98,desktop,old_ui,0
99,desktop,old_ui,0
100,desktop,old_ui,0
101,mobile,old_ui,0
102,mobile,new_ui,0
103,mobile,old_ui,0
104,mobile,new_ui,0
105,mobile,old_ui,0
106,desktop,new_ui,0
107,desktop,old_ui,0
108,mobile,old_ui,0
109,mobile,old_ui,0
110,mobile,new_ui,0
111,desktop,old_ui,0
112,mobile,old_ui,0
113,mobile,old_ui,0
114,desktop,old_ui,0
115,desktop,old_ui,0
116,mobile,new_ui,0
117,mobile,new_ui,0
118,mobile,new_ui,0
119,mobile,new_ui,0
120,mobile,old_ui,0
121,mobile,new_ui,0
122,mobile,old_ui,0
123,mobile,new_ui,0
124,mobile,old_ui,0
125,mobile,new_ui,0
126,mobile,new_ui,1
127,desktop,old_ui,0
128,mobile,new_ui,0
129,desktop,new_ui,0
130,mobile,old_ui,1
131,desktop,old_ui,0
132,mobile,old_ui,0
133,mobile,new_ui,0
134,desktop,old_ui,0
135,mobile,new_ui,1
136,mobile,old_ui,1
137,mobile,old_ui,0
138,desktop,old_ui,0
139,desktop,old_ui,0
140,desktop,new_ui,0
141,mobile,new_ui,0
142,desktop,old_ui,0
143,desktop,old_ui,0
144,desktop,old_ui,0
145,desktop,old_ui,0
146,mobile,new_ui,0
147,desktop,old_ui,0
148,desktop,old_ui,0
149,mobile,new_ui,0
150,mobile,old_ui,1
151,mobile,old_ui,0
152,mobile,new_ui,0
153,desktop,old_ui,0
154,desktop,old_ui,0
155,desktop,old_ui,0
156,mobile,new_ui,0
157,desktop,old_ui,0
158,desktop,old_ui,0
159,desktop,new_ui,0
160,desktop,old_ui,0
161,desktop,old_ui,0
162,desktop,old_ui,0
163,mobile,new_ui,0
164,mobile,new_ui,0
165,desktop,new_ui,0
166,mobile,new_ui,0
167,mobile,new_ui,0
168,mobile,old_ui,0
169,desktop,new_ui,0
170,desktop,new_ui,0
171,mobile,new_ui,1
172,desktop,old_ui,0
173,desktop,old_ui,0
174,desktop,old_ui,1
175,mobile,new_ui,0
176,mobile,new_ui,1
177,mobile,new_ui,0
178,mobile,new_ui,0
179,desktop,old_ui,0
180,desktop,new_ui,0
181,desktop,new_ui,0
182,mobile,old_ui,1
183,mobile,new_ui,0
184,desktop,old_ui,0
185,mobile,new_ui,0
186,mobile,old_ui,0
187,mobile,new_ui,0
188,mobile,new_ui,0
189,desktop,new_ui,0
190,desktop,old_ui,0
191,mobile,new_ui,0
192,mobile,new_ui,0
193,mobile,new_ui,0
194,mobile,new_ui,0
195,desktop,new_ui,0
196,mobile,old_ui,1
197,desktop,old_ui,0
198,mobile,new_ui,0
199,mobile,old_ui,0
200,mobile,new_ui,0
201,mobile,new_ui,1
202,desktop,new_ui,0
203,mobile,new_ui,0
204,desktop,old_ui,0
205,mobile,new_ui,0
206,desktop,old_ui,0
207,desktop,old_ui,1
208,desktop,old_ui,0
209,mobile,old_ui,1
210,desktop,old_ui,0
211,mobile,old_ui,0
212,mobile,old_ui,0
213,desktop,old_ui,0
214,mobile,new_ui,0
215,mobile,new_ui,0
216,desktop,old_ui,0
217,mobile,old_ui,1
218,mobile,new_ui,0
219,mobile,old_ui,0
220,mobile,old_ui,0
221,mobile,new_ui,0
222,mobile,new_ui,0
223,mobile,new_ui,0
224,mobile,new_ui,0
225,desktop,old_ui,0
226,mobile,old_ui,1
227,mobile,new_ui,0
228,mobile,new_ui,0
229,desktop,new_ui,0
230,mobile,old_ui,0
231,mobile,new_ui,0
232,desktop,new_ui,0
233,desktop,new_ui,0
234,desktop,old_ui,0
235,desktop,old_ui,0
236,desktop,old_ui,0
237,mobile,new_ui,0
238,mobile,new_ui,0
239,mobile,new_ui,0
240,desktop,old_ui,0
241,mobile,new_ui,0
242,desktop,old_ui,0
243,mobile,old_ui,1
244,desktop,old_ui,0
245,desktop,old_ui,0
246,desktop,old_ui,0
247,mobile,new_ui,1
248,mobile,new_ui,0
249,mobile,new_ui,0
250,mobile,old_ui,1
251,desktop,old_ui,0
252,mobile,new_ui,0
253,mobile,old_ui,0
254,mobile,new_ui,1
255,mobile,new_ui,0
256,mobile,old_ui,0
257,mobile,new_ui,0
