notification_id,user_cohort,arm,opened
1,weekend_only,old_timing,0
2,weekday_active,new_timing,0
3,weekend_only,old_timing,1
4,weekday_active,new_timing,1
5,weekday_active,new_timing,1
6,weekday_active,old_timing,1
7,weekday_active,old_timing,0
8,weekday_active,new_timing,0
9,weekday_active,new_timing,1
10,weekday_active,new_timing,1
11,weekday_active,new_timing,0
12,weekday_active,old_timing,0
13,weekday_active,new_timing,0
14,weekday_active,old_timing,0
15,weekend_only,old_timing,1
16,weekday_active,new_timing,0
17,weekend_only,old_timing,0
18,weekend_only,new_timing,0
19,weekday_active,new_timing,0
20,weekend_only,old_timing,0
21,weekend_only,old_timing,0
22,weekday_active,old_timing,0
23,weekend_only,old_timing,0
24,weekend_only,new_timing,1
25,weekday_active,new_timing,0
26,weekday_active,old_timing,0
27,weekend_only,old_timing,0
28,weekend_only,old_timing,0
29,weekday_active,new_timing,0
30,weekday_active,old_timing,0
31,weekend_only,old_timing,0
32,weekend_only,old_timing,0
33,weekend_only,new_timing,0
34,weekend_only,old_timing,0
35,weekend_only,old_timing,0
36,weekday_active,new_timing,0
37,weekday_active,new_timing,0
38,weekend_only,old_timing,1
39,weekday_active,old_timing,0
40,weekday_active,new_timing,0
41,weekend_only,new_timing,0
42,weekday_active,old_timing,0
43,weekend_only,old_timing,0
44,weekend_only,old_timing,1
45,weekday_active,old_timing,0
46,weekday_active,new_timing,1
47,weekend_only,new_timing,0
48,weekday_active,new_timing,0
49,weekday_active,new_timing,1
50,weekday_active,new_timing,0
51,weekend_only,new_timing,0
52,weekday_active,old_timing,1
53,weekday_active,new_timing,0
54,weekday_active,new_timing,0
55,weekday_active,old_timing,0
56,weekday_active,old_timing,1
57,weekend_only,old_timing,0
58,weekend_only,old_timing,0
59,weekday_active,old_timing,1
60,weekend_only,old_timing,1
61,weekday_active,old_timing,0
62,weekday_active,new_timing,0
63,weekend_only,old_timing,1
64,weekday_active,new_timing,0
65,weekend_only,old_timing,0
66,weekday_active,old_timing,1
67,weekday_active,new_timing,0
68,weekday_active,new_timing,0
69,weekday_active,old_timing,0
70,weekday_active,new_timing,0
71,weekend_only,old_timing,0
72,weekday_active,old_timing,0
73,weekend_only,old_timing,0
74,weekday_active,new_timing,0
75,weekday_active,new_timing,0
76,weekend_only,old_timing,0
77,weekday_active,new_timing,0
78,weekend_only,new_timing,0
79,weekday_active,new_timing,0
80,weekday_active,new_timing,0
81,weekday_active,old_timing,0
82,weekday_active,old_timing,0
83,weekday_active,new_timing,0
84,weekday_active,new_timing,1
85,weekday_active,old_timing,0
86,weekday_active,old_timing,1
